Comment,Designator,Footprint,LCSC Part #
,Y1,CRYSTAL_2.5X2,
1k,R1 R5 R9,603,
1uF,C10 C11,402,
5.1k,R11 R14,603,
10k,R10 R13,603,
10uF,C23,603,
20pF,C16 C17,603,
27,R6 R7,603,
100nF,C6 C7 C8 C9 C12 C13 C14 C15 C18 C19 C20,603,
455-1750-1-ND,J3,1X03,
DNP,R8,603,
GD25Q64CSIGR,IC2,SOIC127P790X216-8N,
Green,D1,LED-0603,
ILPH-K501-RGBW-SK6812-05-01,LED1,ILPHK501RGBWSK68120501,
MABA-010441-CT38A0,T2,MABA010441CT38A0,
MICROSD,U$1,MICROSD,
MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM,S1 S2,TACTILE_SWITCH_SMD_4.6X2.8MM,
MOUNT-PAD-ROUND3.0,H2 H3 H4,3 0-PAD,
RFM95W,U$2,RFM95PW,
RP2040,IC1,QFN40P700X700X90-57N,
TFM-120-01-L-D-RA,J1,TFM-120-01-XXX-D-RA,
TPTP12R,+3V3TP +5VTP GND2 SWCLK SWDIO TP2 TP4,TP12R,
USB Female Type C Connector,J8,USB-C-16P-4LAYER-ISOLATED,
